"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
States,Alabama,Season 2018-19,530,42,162,3,1,20,0,0
States,Alaska,Season 2018-19,4794,718,912,48,98,0,0,0
States,Arizona,Season 2018-19,2291,1192,628,3,0,30,22,0
States,Arkansas,Season 2018-19,497,74,69,0,0,2,0,0
States,California,Season 2018-19,8866,2991,1306,227,36,33,37,0
States,Colorado,Season 2018-19,1538,520,541,29,5,16,3,0
States,Connecticut,Season 2018-19,1319,560,300,0,1,4,26,0
States,Delaware,Season 2018-19,3156,439,411,21,4,8,5,0
States,District of Columbia,Season 2018-19,1418,147,128,0,1,19,7,0
States,Florida,Season 2018-19,X,X,X,X,X,X,X,X
States,Georgia,Season 2018-19,1714,228,512,14,2,13,3,0
States,Hawaii,Season 2018-19,2638,701,358,20,2,205,25,0
States,Idaho,Season 2018-19,1620,858,492,2,1,8,10,0
States,Illinois,Season 2018-19,2509,445,164,1,0,4,10,0
States,Indiana,Season 2018-19,846,287,285,2,0,11,7,0
States,Iowa,Season 2018-19,2147,468,420,20,1,27,10,0
States,Kansas,Season 2018-19,415,70,156,4,0,0,0,0
States,Kentucky,Season 2018-19,578,107,246,0,0,2,2,0
States,Louisiana,Season 2018-19,2271,175,317,6,45,101,0,0
States,Maine,Season 2018-19,666,284,51,2,0,74,4,0
States,Maryland,Season 2018-19,7299,2354,1453,11,1,99,41,0
States,Massachusetts,Season 2018-19,828,432,166,11,3,0,0,0
States,Michigan,Season 2018-19,1100,453,359,7,13,39,24,0
States,Minnesota,Season 2018-19,2958,760,348,60,0,15,20,0
States,Mississippi,Season 2018-19,663,25,292,0,0,2,2,0
States,Missouri,Season 2018-19,232,43,29,0,1,6,1,0
States,Montana,Season 2018-19,1162,272,239,7,6,64,8,0
States,Nebraska,Season 2018-19,270,56,82,8,0,6,3,0
States,Nevada,Season 2018-19,500,159,105,2,0,1,1,0
States,New Hampshire,Season 2018-19,594,205,84,3,0,12,21,0
States,New Jersey,Season 2018-19,905,281,251,1,1,3,0,0
States,New Mexico,Season 2018-19,1885,687,306,9,0,9,7,0
States,New York,Season 2018-19,3325,933,987,60,14,32,10,0
States,North Carolina,Season 2018-19,671,122,122,11,0,3,4,0
States,North Dakota,Season 2018-19,1094,556,205,5,2,50,7,0
States,Ohio,Season 2018-19,3078,751,968,6,12,7,9,0
States,Oklahoma,Season 2018-19,735,79,158,0,0,6,2,0
States,Oregon,Season 2018-19,521,171,245,0,0,0,0,0
States,Pennsylvania,Season 2018-19,1664,370,358,36,52,2,1,0
States,Rhode Island,Season 2018-19,339,91,35,3,1,4,1,0
States,South Carolina,Season 2018-19,902,108,222,0,0,8,0,0
States,South Dakota,Season 2018-19,1182,307,372,21,9,18,3,0
States,Tennessee,Season 2018-19,1367,56,198,8,0,1,0,0
States,Texas,Season 2018-19,1924,228,439,14,44,44,12,0
States,Utah,Season 2018-19,1194,389,405,15,2,9,1,0
States,Vermont,Season 2018-19,427,214,139,7,0,4,1,0
States,Virginia,Season 2018-19,1884,490,495,8,2,18,18,0
States,Washington,Season 2018-19,995,299,249,14,6,6,4,0
States,West Virginia,Season 2018-19,821,307,234,0,0,3,15,0
States,Wisconsin,Season 2018-19,4187,412,416,47,1,26,28,0
States,Wyoming,Season 2018-19,349,91,79,1,4,3,4,0
States,Alabama,Season 2019-20,690,174,6,0,5,123,0,0
States,Alaska,Season 2019-20,1675,102,25,6,375,0,0,0
States,Arizona,Season 2019-20,1676,632,33,0,38,560,8,0
States,Arkansas,Season 2019-20,782,146,1,4,54,45,0,0
States,California,Season 2019-20,10933,3055,272,182,475,1742,36,0
States,Colorado,Season 2019-20,1824,552,53,10,145,187,0,0
States,Connecticut,Season 2019-20,1327,272,69,0,2,410,15,0
States,Delaware,Season 2019-20,2716,507,26,14,44,359,2,0
States,District of Columbia,Season 2019-20,898,138,18,0,0,120,2,0
States,Florida,Season 2019-20,X,X,X,X,X,X,X,X
States,Georgia,Season 2019-20,1981,646,12,3,54,286,5,0
States,Hawaii,Season 2019-20,3381,1283,64,19,3,441,1,1
States,Idaho,Season 2019-20,2153,546,79,2,49,913,12,0
States,Illinois,Season 2019-20,2680,376,22,60,173,268,0,0
States,Indiana,Season 2019-20,755,283,5,2,28,250,5,0
States,Iowa,Season 2019-20,2496,528,61,21,10,629,4,0
States,Kansas,Season 2019-20,277,89,0,2,21,7,0,0
States,Kentucky,Season 2019-20,420,124,2,0,8,88,3,0
States,Louisiana,Season 2019-20,1525,255,43,4,5,293,0,0
States,Maine,Season 2019-20,872,230,30,1,3,229,4,0
States,Maryland,Season 2019-20,6793,1893,143,6,18,1364,20,0
States,Massachusetts,Season 2019-20,681,324,30,1,20,5,0,0
States,Michigan,Season 2019-20,1132,490,31,6,95,301,0,0
States,Minnesota,Season 2019-20,3358,1196,28,73,13,502,27,0
States,Mississippi,Season 2019-20,798,221,19,0,1,171,0,0
States,Missouri,Season 2019-20,459,62,2,0,45,32,0,0
States,Montana,Season 2019-20,1226,198,44,2,6,307,0,0
States,Nebraska,Season 2019-20,403,112,4,0,14,27,2,0
States,Nevada,Season 2019-20,1600,272,34,3,158,135,0,0
States,New Hampshire,Season 2019-20,414,73,14,3,1,61,1,0
States,New Jersey,Season 2019-20,994,177,42,3,44,6,0,0
States,New Mexico,Season 2019-20,2196,389,10,6,27,325,1,0
States,New York,Season 2019-20,2335,578,99,9,214,231,23,0
States,North Carolina,Season 2019-20,2074,224,19,1,36,162,7,0
States,North Dakota,Season 2019-20,1022,278,20,3,60,384,2,0
States,Ohio,Season 2019-20,3530,936,16,5,266,393,0,0
States,Oklahoma,Season 2019-20,1457,213,3,4,104,57,0,0
States,Oregon,Season 2019-20,646,126,6,0,313,60,1,0
States,Pennsylvania,Season 2019-20,1752,255,47,8,307,34,1,0
States,Rhode Island,Season 2019-20,307,81,16,3,5,30,0,0
States,South Carolina,Season 2019-20,2124,489,18,4,97,280,6,0
States,South Dakota,Season 2019-20,1758,531,6,13,53,481,3,0
States,Tennessee,Season 2019-20,1441,260,5,1,0,116,1,0
States,Texas,Season 2019-20,2894,555,24,12,238,189,0,0
States,Utah,Season 2019-20,1236,513,22,3,25,278,6,0
States,Vermont,Season 2019-20,198,80,26,1,0,29,0,0
States,Virginia,Season 2019-20,2370,581,28,6,160,458,11,0
States,Washington,Season 2019-20,1176,277,37,35,182,207,3,0
States,West Virginia,Season 2019-20,724,193,1,4,1,172,0,0
States,Wisconsin,Season 2019-20,4729,441,93,138,7,610,10,0
States,Wyoming,Season 2019-20,6771,50,1,2,4,25,0,0
States,Alabama,Season 2020-21,15011,0,0,1,5,0,0,0
States,Alaska,Season 2020-21,227,1,2,2,2,0,0,0
States,Arizona,Season 2020-21,263,1,1,0,0,1,0,0
States,Arkansas,Season 2020-21,262,0,0,0,0,0,0,0
States,California,Season 2020-21,3196,0,3,10,6,1,3,0
States,Colorado,Season 2020-21,2232,0,1,0,0,0,0,0
States,Connecticut,Season 2020-21,199,0,0,0,0,1,0,0
States,Delaware,Season 2020-21,641,0,1,0,0,0,0,0
States,District of Columbia,Season 2020-21,32,0,0,0,0,0,0,0
States,Florida,Season 2020-21,X,X,X,X,X,X,X,X
States,Georgia,Season 2020-21,5036,0,0,2,0,0,0,0
States,Hawaii,Season 2020-21,1868,0,0,0,0,0,0,0
States,Idaho,Season 2020-21,196,0,0,0,0,0,0,0
States,Illinois,Season 2020-21,1317,0,0,0,0,0,0,0
States,Indiana,Season 2020-21,124,0,0,0,0,0,0,0
States,Iowa,Season 2020-21,105,3,0,3,0,0,0,1
States,Kansas,Season 2020-21,42980,0,0,0,0,0,0,0
States,Kentucky,Season 2020-21,227,0,0,0,0,0,0,0
States,Louisiana,Season 2020-21,481,0,1,0,0,0,0,0
States,Maine,Season 2020-21,366,1,0,0,1,0,0,0
States,Maryland,Season 2020-21,3590,0,60,0,0,0,0,0
States,Massachusetts,Season 2020-21,564,0,0,0,0,0,0,0
States,Michigan,Season 2020-21,901,0,7,0,5,0,0,0
States,Minnesota,Season 2020-21,2484,0,2,4,3,0,1,0
States,Mississippi,Season 2020-21,145,0,0,0,0,0,0,0
States,Missouri,Season 2020-21,597,1,0,0,0,0,0,0
States,Montana,Season 2020-21,327,0,0,0,0,0,0,0
States,Nebraska,Season 2020-21,45791,5,5,5,8,0,0,0
States,Nevada,Season 2020-21,182347,0,0,16,14,0,0,0
States,New Hampshire,Season 2020-21,26575,0,0,0,0,1,0,0
States,New Jersey,Season 2020-21,1183,0,0,0,0,0,0,0
States,New Mexico,Season 2020-21,2912,5,5,0,0,6,2,0
States,New York,Season 2020-21,56559,2,2,1,7,0,0,0
States,North Carolina,Season 2020-21,16738,4,1,8,1,1,1,0
States,North Dakota,Season 2020-21,152,1,2,0,0,1,0,0
States,Ohio,Season 2020-21,897,0,1,5,3,0,0,0
States,Oklahoma,Season 2020-21,1717,0,0,1,0,0,0,0
States,Oregon,Season 2020-21,19007,0,0,0,1,1,1,0
States,Pennsylvania,Season 2020-21,99200,1,1,0,1,1,0,0
States,Rhode Island,Season 2020-21,1660,1,0,0,0,0,0,0
States,South Carolina,Season 2020-21,1230,0,0,0,0,0,0,0
States,South Dakota,Season 2020-21,918,0,0,0,1,0,0,0
States,Tennessee,Season 2020-21,290,0,0,0,1,0,0,0
States,Texas,Season 2020-21,5055,0,3,3,1,5,0,0
States,Utah,Season 2020-21,663,0,1,0,0,2,0,0
States,Vermont,Season 2020-21,608,0,0,0,0,0,0,0
States,Virginia,Season 2020-21,5011,0,0,1,0,0,0,0
States,Washington,Season 2020-21,4021,0,0,2,0,0,0,0
States,West Virginia,Season 2020-21,258,0,0,0,0,0,0,0
States,Wisconsin,Season 2020-21,3076,1,2,3,2,0,0,1
States,Wyoming,Season 2020-21,126024,0,0,59,19,2,0,0
States,Alabama,Season 2021-22,12304,0,223,32,4,0,0,0
States,Alaska,Season 2021-22,1228,0,211,28,5,8,0,0
States,Arizona,Season 2021-22,1393,0,737,6,1,4,0,0
States,Arkansas,Season 2021-22,65351,0,186,332,5,0,0,0
States,California,Season 2021-22,63899,6,1204,229,35,2,0,0
States,Colorado,Season 2021-22,1337,1,713,19,0,1,0,0
States,Connecticut,Season 2021-22,622,2,390,6,0,0,0,0
States,Delaware,Season 2021-22,2107,1,522,84,1,1,1,0
States,District of Columbia,Season 2021-22,298,0,58,1,1,0,0,0
States,Florida,Season 2021-22,7533,6,1415,76,0,0,0,0
States,Georgia,Season 2021-22,2830,9,899,132,1,4,0,0
States,Hawaii,Season 2021-22,1513,1,248,11,0,4,0,0
States,Idaho,Season 2021-22,12160,0,275,62,1,0,0,0
States,Illinois,Season 2021-22,168813,0,373,475,1,0,0,0
States,Indiana,Season 2021-22,981,1,101,3,0,0,0,0
States,Iowa,Season 2021-22,395,1,158,1,0,0,0,0
States,Kansas,Season 2021-22,29750,0,254,312,2,0,0,0
States,Kentucky,Season 2021-22,735,0,169,0,0,0,0,0
States,Louisiana,Season 2021-22,993,0,52,5,0,0,0,0
States,Maine,Season 2021-22,501,0,168,2,0,0,0,0
States,Maryland,Season 2021-22,3623,2,366,2,0,2,0,0
States,Massachusetts,Season 2021-22,752,0,155,3,0,0,0,0
States,Michigan,Season 2021-22,1683,7,568,3,2,0,0,1
States,Minnesota,Season 2021-22,6205,2,488,22,0,1,0,0
States,Mississippi,Season 2021-22,469,1,35,0,0,0,0,0
States,Missouri,Season 2021-22,17065,0,127,34,1,0,0,0
States,Montana,Season 2021-22,600,4,307,1,0,0,0,0
States,Nebraska,Season 2021-22,29692,2,212,574,2,1,0,0
States,Nevada,Season 2021-22,101083,0,365,458,7,0,0,0
States,New Hampshire,Season 2021-22,65373,0,76,2,0,0,0,0
States,New Jersey,Season 2021-22,2031,1,227,16,2,0,0,0
States,New Mexico,Season 2021-22,3682,9,958,8,2,0,0,0
States,New York,Season 2021-22,92963,4,221,389,5,0,0,0
States,North Carolina,Season 2021-22,2007,0,43,2,0,3,0,0
States,North Dakota,Season 2021-22,1635,0,230,6,0,0,0,0
States,Ohio,Season 2021-22,15464,17,1064,21,3,4,0,1
States,Oklahoma,Season 2021-22,1966,0,41,5,0,0,0,0
States,Oregon,Season 2021-22,6562,1,203,5,1,0,0,0
States,Pennsylvania,Season 2021-22,176346,5,982,158,22,0,0,0
States,Rhode Island,Season 2021-22,11237,0,486,242,0,8,0,0
States,South Carolina,Season 2021-22,1149,0,36,98,0,0,0,0
States,South Dakota,Season 2021-22,5102,1,1102,225,3,0,0,0
States,Tennessee,Season 2021-22,647,1,148,2,0,0,0,0
States,Texas,Season 2021-22,19100,1,698,184,7,3,0,0
States,Utah,Season 2021-22,1255,1,712,0,0,0,0,0
States,Vermont,Season 2021-22,1334,0,78,2,0,0,0,0
States,Virginia,Season 2021-22,6960,2,91,6,0,0,0,0
States,Washington,Season 2021-22,27130,2,388,45,1,0,0,0
States,West Virginia,Season 2021-22,474,14,232,0,0,0,0,3
States,Wisconsin,Season 2021-22,5382,5,603,110,4,1,0,0
States,Wyoming,Season 2021-22,41606,0,873,898,11,0,0,0
States,Alabama,Season 2022-23,172,2,17,3,0,0,0,0
States,Alaska,Season 2022-23,2696,125,436,203,3,10,0,0
States,Arizona,Season 2022-23,1672,227,513,12,6,136,0,0
States,Arkansas,Season 2022-23,8219,99,30,97,4,2,0,0
States,California,Season 2022-23,10547,448,2593,253,26,56,0,0
States,Colorado,Season 2022-23,890,206,448,10,0,101,0,0
States,Connecticut,Season 2022-23,883,191,486,25,2,4,0,0
States,Delaware,Season 2022-23,737,100,109,23,0,11,0,0
States,District of Columbia,Season 2022-23,1729,77,292,17,1,19,0,0
States,Florida,Season 2022-23,2562,333,808,16,2,132,0,0
States,Georgia,Season 2022-23,3227,456,1034,206,3,155,0,0
States,Hawaii,Season 2022-23,896,93,270,16,14,44,0,0
States,Idaho,Season 2022-23,7915,401,1032,57,2,5,0,0
States,Illinois,Season 2022-23,54058,163,384,337,1,3,0,0
States,Indiana,Season 2022-23,864,17,24,3,0,4,0,0
States,Iowa,Season 2022-23,527,105,212,9,4,115,0,0
States,Kansas,Season 2022-23,1289,24,71,65,2,4,0,0
States,Kentucky,Season 2022-23,509,61,41,0,0,2,0,0
States,Louisiana,Season 2022-23,1619,27,13,1,5,5,0,0
States,Maine,Season 2022-23,279,7,2,0,1,1,0,0
States,Maryland,Season 2022-23,763,3,116,9,0,2,0,0
States,Massachusetts,Season 2022-23,861,101,327,2,2,1,0,0
States,Michigan,Season 2022-23,2088,293,495,7,6,68,0,1
States,Minnesota,Season 2022-23,2085,123,880,56,1,24,0,0
States,Mississippi,Season 2022-23,205,41,40,0,0,6,0,0
States,Missouri,Season 2022-23,1763,133,222,20,0,4,0,0
States,Montana,Season 2022-23,474,130,185,6,0,7,0,0
States,Nebraska,Season 2022-23,3132,35,82,196,7,6,0,0
States,Nevada,Season 2022-23,24186,67,120,259,5,7,0,0
States,New Hampshire,Season 2022-23,4146,25,29,6,1,4,0,0
States,New Jersey,Season 2022-23,1126,39,109,9,15,1,0,0
States,New Mexico,Season 2022-23,3090,343,654,60,3,27,0,1
States,New York,Season 2022-23,25846,105,442,461,44,9,0,0
States,North Carolina,Season 2022-23,987,88,250,8,0,10,0,0
States,North Dakota,Season 2022-23,467,82,174,1,0,1,0,0
States,Ohio,Season 2022-23,3448,752,381,4,0,26,0,0
States,Oklahoma,Season 2022-23,929,24,32,1,0,2,0,0
States,Oregon,Season 2022-23,16443,381,881,36,1,1,0,0
States,Pennsylvania,Season 2022-23,53220,232,352,43,0,35,0,0
States,Rhode Island,Season 2022-23,14622,59,171,1383,2,33,0,0
States,South Carolina,Season 2022-23,789,69,97,60,1,2,0,0
States,South Dakota,Season 2022-23,499,164,98,15,1,12,0,0
States,Tennessee,Season 2022-23,646,130,123,13,1,4,0,0
States,Texas,Season 2022-23,4082,193,263,11,56,8,0,0
States,Utah,Season 2022-23,1119,190,321,0,0,35,0,0
States,Vermont,Season 2022-23,163,15,82,2,0,0,0,0
States,Virginia,Season 2022-23,1461,41,118,16,0,1,0,0
States,Washington,Season 2022-23,9710,292,596,155,4,30,0,0
States,West Virginia,Season 2022-23,619,221,253,11,0,15,0,0
States,Wisconsin,Season 2022-23,2443,165,567,42,4,15,0,0
States,Wyoming,Season 2022-23,2905,59,123,188,11,4,0,0
States,Alabama,Season 2023-24 ,36,5,0,0,0,11,0,0
States,Alaska,Season 2023-24 ,X,X,X,X,X,X,X,X
States,Arizona,Season 2023-24 ,800,132,6,0,0,6,0,0
States,Arkansas,Season 2023-24 ,337,4,5,6,0,7,0,0
States,California,Season 2023-24 ,1544,352,63,95,15,19,0,0
States,Colorado,Season 2023-24 ,85,35,3,3,1,14,0,0
States,Connecticut,Season 2023-24 ,473,83,3,6,2,10,0,0
States,Delaware,Season 2023-24 ,512,96,12,12,1,7,0,0
States,District of Columbia,Season 2023-24 ,315,46,15,5,0,3,0,0
States,Florida,Season 2023-24 ,736,248,46,27,15,208,0,0
States,Georgia,Season 2023-24 ,826,179,17,113,0,77,0,0
States,Hawaii,Season 2023-24 ,501,110,40,1,4,48,0,0
States,Idaho,Season 2023-24 ,91,37,5,1,0,7,0,0
States,Illinois,Season 2023-24 ,1067,17,10,19,2,1,0,0
States,Indiana,Season 2023-24 ,56,5,7,0,0,2,0,0
States,Iowa,Season 2023-24 ,178,64,35,13,9,30,0,0
States,Kansas,Season 2023-24 ,154,2,0,12,4,0,0,0
States,Kentucky,Season 2023-24 ,78,48,2,0,0,7,0,0
States,Louisiana,Season 2023-24 ,969,73,0,23,12,43,0,0
States,Maine,Season 2023-24 ,139,96,18,0,0,7,0,0
States,Maryland,Season 2023-24 ,134,5,2,6,0,0,0,0
States,Massachusetts,Season 2023-24 ,190,85,22,0,0,0,0,0
States,Michigan,Season 2023-24 ,368,118,18,0,8,21,0,0
States,Minnesota,Season 2023-24 ,383,111,23,11,15,13,0,0
States,Mississippi,Season 2023-24 ,58,2,0,7,2,6,0,0
States,Missouri,Season 2023-24 ,120,24,0,2,0,2,0,0
States,Montana,Season 2023-24 ,142,58,27,1,0,20,0,0
States,Nebraska,Season 2023-24 ,173,17,4,9,3,6,0,0
States,Nevada,Season 2023-24 ,3094,169,33,595,116,53,0,0
States,New Hampshire,Season 2023-24 ,274,37,8,8,1,4,0,0
States,New Jersey,Season 2023-24 ,98,26,6,2,2,0,0,0
States,New Mexico,Season 2023-24 ,437,21,2,0,0,4,0,0
States,New York,Season 2023-24 ,2684,13,11,39,0,7,0,0
States,North Carolina,Season 2023-24 ,114,50,1,3,0,5,0,0
States,North Dakota,Season 2023-24 ,83,62,6,1,0,4,0,0
States,Ohio,Season 2023-24 ,137,120,9,0,0,1,0,0
States,Oklahoma,Season 2023-24 ,47,0,2,0,0,0,0,0
States,Oregon,Season 2023-24 ,1650,6,4,0,0,0,0,0
States,Pennsylvania,Season 2023-24 ,7229,155,29,15,0,17,0,0
States,Rhode Island,Season 2023-24 ,1474,72,2,26,8,34,0,0
States,South Carolina,Season 2023-24 ,327,60,1,22,18,118,0,0
States,South Dakota,Season 2023-24 ,33,10,1,0,1,6,0,0
States,Tennessee,Season 2023-24 ,121,3,9,1,1,13,0,0
States,Texas,Season 2023-24 ,452,99,3,1,3,45,0,0
States,Utah,Season 2023-24 ,171,58,8,0,0,24,0,0
States,Vermont,Season 2023-24 ,55,20,16,2,0,0,0,0
States,Virginia,Season 2023-24 ,383,20,8,14,0,0,0,0
States,Washington,Season 2023-24 ,673,86,7,6,3,3,0,0
States,West Virginia,Season 2023-24 ,146,80,17,0,0,16,0,0
States,Wisconsin,Season 2023-24 ,641,95,101,18,2,17,0,0
States,Wyoming,Season 2023-24 ,335,12,2,10,3,6,0,0
